seq_id,ko,gene,source,organism_code_or_name,species,taxid,domain,phylum,class,order,family,genus,length,description,system,classification_basis
bfgm|1|K01252|entB|P0ADI4,K01252,entB,uniprot,Escherichia coli (strain K12),Escherichia coli (strain K12),83333.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,285,Enterobactin synthase component B (EC 6.3.2.14) (Enterobactin biosynthesis bifunctional protein EntB) (Enterochelin synthase B) [Includes: I,enterobactin biosynthesis,gene_symbol_match
bfgm|67|K04047|dps|Q9ZMJ1,K04047,dps,uniprot,Helicobacter pylori (strain J99 / ATCC 700824) (Campylobacter pylori J99),Helicobacter pylori (strain J99 / ATCC 700824) (Campylobacter pylori J99),85963.0,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,144,DNA protection during starvation protein (EC 1.16.-.-) (Bacterioferritin) (HP-NAP) (Neutrophil-activating protein A) (NAP A),ferritin-family iron storage,gene_symbol_match
bfgm|68|K04759|feoB|O25396,K04759,feoB,uniprot,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori),Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori),85962.0,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,642,Fe(2+) transporter FeoB (Ferrous iron transport protein B),Feo ferrous iron transport,gene_symbol_match
bfgm|69|K04759|feoB|P33650,K04759,feoB,uniprot,Escherichia coli (strain K12),Escherichia coli (strain K12),83333.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,773,Fe(2+) transporter FeoB (Ferrous iron transport protein B),Feo ferrous iron transport,gene_symbol_match
bfgm|70|K04759|feoB|P74884,K04759,feoB,uniprot,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),99287.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,772,Fe(2+) transporter FeoB (Ferrous iron transport protein B),Feo ferrous iron transport,gene_symbol_match
bfgm|71|K04759|feoB|P73182,K04759,feoB,uniprot,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),1111708.0,Bacteria,Cyanobacteriota,Cyanophyceae,Synechococcales,Merismopediaceae,Synechocystis,614,Fe(2+) transporter FeoB (Ferrous iron transport protein B homolog),Feo ferrous iron transport,gene_symbol_match
bfgm|72|K04759|feoB|Q5ZS62,K04759,feoB,uniprot,Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513),Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513),272624.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,751,Fe(2+) transporter FeoB (Ferrous iron transport protein B),Feo ferrous iron transport,gene_symbol_match
bfgm|73|K04759|feoB|Q8F332,K04759,feoB,uniprot,Leptospira interrogans serogroup Icterohaemorrhagiae serovar Lai (strain 56601),Leptospira interrogans serogroup Icterohaemorrhagiae serovar Lai (strain 56601),189518.0,Bacteria,Spirochaetota,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira,701,Fe(2+) transporter FeoB (Ferrous iron transport protein B),Feo ferrous iron transport,gene_symbol_match
bfgm|74|K04759|feoB|Q8FCT7,K04759,feoB,uniprot,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),199310.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,773,Fe(2+) transporter FeoB (Ferrous iron transport protein B),Feo ferrous iron transport,gene_symbol_match
bfgm|75|K04759|feoB|Q8XED4,K04759,feoB,uniprot,Escherichia coli O157:H7,Escherichia coli O157:H7,83334.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,773,Fe(2+) transporter FeoB (Ferrous iron transport protein B),Feo ferrous iron transport,gene_symbol_match
bfgm|76|K04759|feoB|Q7A3F2,K04759,feoB,uniprot,Staphylococcus aureus (strain N315),Staphylococcus aureus (strain N315),158879.0,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,664,Fe(2+) transporter FeoB (Ferrous iron transport protein B),Feo ferrous iron transport,gene_symbol_match
bfgm|77|K04759|feoB|Q57IW8,K04759,feoB,uniprot,Salmonella choleraesuis (strain SC-B67),Salmonella choleraesuis (strain SC-B67),321314.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,772,Fe(2+) transporter FeoB (Ferrous iron transport protein B),Feo ferrous iron transport,gene_symbol_match
bfgm|78|K04759|feoB|Q5PLZ1,K04759,feoB,uniprot,Salmonella paratyphi A (strain ATCC 9150 / SARB42),Salmonella paratyphi A (strain ATCC 9150 / SARB42),295319.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,772,Fe(2+) transporter FeoB (Ferrous iron transport protein B),Feo ferrous iron transport,gene_symbol_match
bfgm|79|K04759|feoB|Q5X1N2,K04759,feoB,uniprot,Legionella pneumophila (strain Paris),Legionella pneumophila (strain Paris),297246.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,751,Fe(2+) transporter FeoB (Ferrous iron transport protein B),Feo ferrous iron transport,gene_symbol_match
bfgm|80|K04759|feoB|Q5XPH7,K04759,feoB,uniprot,Leptospira biflexa serovar Patoc (strain Patoc 1 / ATCC 23582 / Paris),Leptospira biflexa serovar Patoc (strain Patoc 1 / ATCC 23582 / Paris),456481.0,Bacteria,Spirochaetota,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira,690,Fe(2+) transporter FeoB (Ferrous iron transport protein B),Feo ferrous iron transport,gene_symbol_match
bfgm|81|K04759|feoB|Q6GDP8,K04759,feoB,uniprot,Staphylococcus aureus (strain MRSA252),Staphylococcus aureus (strain MRSA252),282458.0,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,664,Fe(2+) transporter FeoB (Ferrous iron transport protein B),Feo ferrous iron transport,gene_symbol_match
bfgm|82|K04759|feoB|Q72SI0,K04759,feoB,uniprot,Leptospira interrogans serogroup Icterohaemorrhagiae serovar copenhageni (strain Fiocruz L1-130),Leptospira interrogans serogroup Icterohaemorrhagiae serovar copenhageni (strain Fiocruz L1-130),267671.0,Bacteria,Spirochaetota,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira,701,Fe(2+) transporter FeoB (Ferrous iron transport protein B),Feo ferrous iron transport,gene_symbol_match
bfgm|83|K04759|feoB|Q8NUR5,K04759,feoB,uniprot,Staphylococcus aureus (strain MW2),Staphylococcus aureus (strain MW2),196620.0,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,664,Fe(2+) transporter FeoB (Ferrous iron transport protein B),Feo ferrous iron transport,gene_symbol_match
bfgm|84|K04759|feoB|Q5HD01,K04759,feoB,uniprot,Staphylococcus aureus (strain COL),Staphylococcus aureus (strain COL),93062.0,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,664,Fe(2+) transporter FeoB (Ferrous iron transport protein B),Feo ferrous iron transport,gene_symbol_match
bfgm|85|K04759|feoB|Q5WTE1,K04759,feoB,uniprot,Legionella pneumophila (strain Lens),Legionella pneumophila (strain Lens),297245.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,751,Fe(2+) transporter FeoB (Ferrous iron transport protein B),Feo ferrous iron transport,gene_symbol_match
bfgm|86|K04759|feoB|Q83PW3,K04759,feoB,uniprot,Shigella flexneri,Shigella flexneri,623.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,773,Fe(2+) transporter FeoB (Ferrous iron transport protein B),Feo ferrous iron transport,gene_symbol_match
bfgm|87|K04759|feoB|Q9PMQ9,K04759,feoB,uniprot,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),192222.0,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,613,Fe(2+) transporter FeoB (Ferrous iron transport protein B homolog),Feo ferrous iron transport,gene_symbol_match
bfgm|88|K04759|feoB|Q9ZLF3,K04759,feoB,uniprot,Helicobacter pylori (strain J99 / ATCC 700824) (Campylobacter pylori J99),Helicobacter pylori (strain J99 / ATCC 700824) (Campylobacter pylori J99),85963.0,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,642,Fe(2+) transporter FeoB (Ferrous iron transport protein B),Feo ferrous iron transport,gene_symbol_match
bfgm|89|K04781|mbtI|P9WFX1,K04781,mbtI,uniprot,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332.0,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,450,"Salicylate synthase (Chorismate mutase) (CM) (EC 5.4.99.5) (Isochorismate synthase/isochorismate lyase) (EC 4.2.99.21, EC 5.4.4.2) (Mycobact",mycobactin biosynthesis (mbt),gene_symbol_match
bfgm|90|K04781|mbtI|Q73XV3,K04781,mbtI,uniprot,Mycolicibacterium paratuberculosis (strain ATCC BAA-968 / K-10) (Mycobacterium paratuberculosis),Mycolicibacterium paratuberculosis (strain ATCC BAA-968 / K-10) (Mycobacterium paratuberculosis),262316.0,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,450,"Salicylate synthase (Chorismate mutase) (CM) (EC 5.4.99.5) (Isochorismate synthase/isochorismate lyase) (EC 4.2.99.21, EC 5.4.4.2) (Mycobact",mycobactin biosynthesis (mbt),gene_symbol_match
bfgm|91|K04784|NA|eoj_ECO26_2864,K04784,,kegg,eoj,Escherichia coli O26:H11 11368 (EHEC),573235.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,2035,(GenBank) predicted siderophore biosynthetic protein (A),yersiniabactin biosynthesis,ko_confirmed_on_term
bfgm|92|K04784|NA|esl_O3K_09705,K04784,,kegg,esl,Escherichia coli O104:H4 2011C-3493 (EAEC),1133852.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,2035,(GenBank) High-molecular-weight nonribosomal peptide/polyketide synthetase 2 (HMWP2) (A),yersiniabactin biosynthesis,ko_confirmed_on_term
bfgm|93|K04784|NA|eck_EC55989_2207,K04784,,kegg,eck,Escherichia coli 55989 (EAEC),585055.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,2041,(GenBank) irp; High-molecular-weight nonribosomal peptide/polyketide synthetase 2 (HMWP2) (A),yersiniabactin biosynthesis,ko_confirmed_on_term
bfgm|94|K04786|NA|eoj_ECO26_2865,K04786,,kegg,eoj,Escherichia coli O26:H11 11368 (EHEC),573235.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,3160,(GenBank) predicted siderophore biosynthetic protein (A),yersiniabactin biosynthesis,ko_confirmed_on_term
bfgm|95|K04786|NA|esl_O3K_09700,K04786,,kegg,esl,Escherichia coli O104:H4 2011C-3493 (EAEC),1133852.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,3163,(GenBank) High-molecular-weight nonribosomal peptide/polyketide synthetase 1 (HMWP1) (A),yersiniabactin biosynthesis,ko_confirmed_on_term
bfgm|96|K04787|mbtA|P71716,K04787,mbtA,uniprot,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332.0,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,565,Salicyl-AMP ligase / salicyl-S-ArCP synthetase (EC 6.2.1.-) (Mycobactin biosynthesis protein MbtA) (Salicyl-AMP ligase) (Sal-AMP ligase) (EC,mycobactin biosynthesis (mbt),gene_symbol_match
bfgm|97|K06153|bacA|eco_b3057,K06153,bacA,kegg,eco,Escherichia coli K-12 MG1655,511145.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,273,(RefSeq) bacA; undecaprenyl pyrophosphate phosphatase (A),"unclassified (KEGG gap-fill, KO not linked to an audited on-term seed gene)",unclassified_ko_gapfill
bfgm|98|K06160|NA|kmi_VW41_04450,K06160,,kegg,kmi,Klebsiella michiganensis RC10,1134687.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,539,(GenBank) cyclic peptide transporter (A),"unclassified (KEGG gap-fill, KO not linked to an audited on-term seed gene)",unclassified_ko_gapfill
bfgm|99|K06160|NA|rpln_B1209_05720,K06160,,kegg,rpln,Klebsiella planticola GODA,575.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,530,(GenBank) cyclic peptide transporter (A),"unclassified (KEGG gap-fill, KO not linked to an audited on-term seed gene)",unclassified_ko_gapfill
bfgm|100|K06160|NA|rao_DSD31_05840,K06160,,kegg,rao,Klebsiella sp. X13,2259647.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,530,(GenBank) cyclic peptide export ABC transporter (A),"unclassified (KEGG gap-fill, KO not linked to an audited on-term seed gene)",unclassified_ko_gapfill
bfgm|101|K06160|NA|rtg_NCTC13098_01603,K06160,,kegg,rtg,Klebsiella terrigena NCTC13098 (Raoultella terrigena NCTC13098),577.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,305,(GenBank) yojI_1; ABC transporter ATP-binding protein YojI (A),"unclassified (KEGG gap-fill, KO not linked to an audited on-term seed gene)",unclassified_ko_gapfill
bfgm|102|K06160|NA|cnt_JT31_07845,K06160,,kegg,cnt,Cedecea neteri SSMD04,158822.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cedecea,539,(GenBank) cyclic peptide transporter (A),"unclassified (KEGG gap-fill, KO not linked to an audited on-term seed gene)",unclassified_ko_gapfill
bfgm|103|K07214|fes|O51900,K07214,fes,uniprot,Dickeya dadantii (strain 3937) (Erwinia chrysanthemi (strain 3937)),Dickeya dadantii (strain 3937) (Erwinia chrysanthemi (strain 3937)),198628.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Dickeya,435,Iron(III) enterobactin esterase (EC 3.1.1.108) (Enterochelin esterase) (Ferric enterobactin esterase),enterobactin iron release,gene_symbol_match
bfgm|104|K07214|fes|A0A0H2V760,K07214,fes,uniprot,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),199310.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,400,Iron(III) enterobactin esterase (EC 3.1.1.108) (Fe-Ent esterase),enterobactin iron release,gene_symbol_match
bfgm|105|K07214|fes|P13039,K07214,fes,uniprot,Escherichia coli (strain K12),Escherichia coli (strain K12),83333.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,400,Iron(III) enterobactin esterase (EC 3.1.1.108) (Enterochelin esterase) (Ferric enterobactin esterase),enterobactin iron release,gene_symbol_match
bfgm|106|K07215|NA|xsa_SB85_17620,K07215,,kegg,xsa,Xanthomonas sacchari R1,56458.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Xanthomonas,199,(GenBank) heme oxygenase (A),Phu heme utilisation,ko_confirmed_on_term
bfgm|107|K07215|NA|xhy_FZ025_13240,K07215,,kegg,xhy,Xanthomonas hyacinthi CFBP 1156,56455.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Xanthomonas,202,(GenBank) biliverdin-producing heme oxygenase (A),Phu heme utilisation,ko_confirmed_on_term
bfgm|108|K07215|NA|xeu_XSP_001726,K07215,,kegg,xeu,Xanthomonas euroxanthea CPBF 367,2259622.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Xanthomonas,205,(GenBank) biliverdin-producing heme oxygenase (A),Phu heme utilisation,ko_confirmed_on_term
bfgm|109|K07215|NA|xso_RAB70_08420,K07215,,kegg,xso,Xanthomonas sontii PPL1,2650745.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Xanthomonas,208,(GenBank) biliverdin-producing heme oxygenase (A),Phu heme utilisation,ko_confirmed_on_term
bfgm|110|K07215|NA|xbn_AB3X10_05010,K07215,,kegg,xbn,Xanthomonas bundabergensis DAR 80977,3160842.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Xanthomonas,201,(GenBank) biliverdin-producing heme oxygenase (A),Phu heme utilisation,ko_confirmed_on_term
bfgm|111|K07224|efeM|P39596,K07224,efeM,uniprot,Bacillus subtilis (strain 168),Bacillus subtilis (strain 168),224308.0,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,385,Iron uptake system component EfeM,EfeUOB/M elemental iron uptake,gene_symbol_match
bfgm|112|K07224|efeM|Q4ZR20,K07224,efeM,uniprot,Pseudomonas syringae pv. syringae (strain B728a),Pseudomonas syringae pv. syringae (strain B728a),205918.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,285,Iron uptake system component EfeM,EfeUOB/M elemental iron uptake,gene_symbol_match
bfgm|113|K07224|efeO|P0AB24,K07224,efeO,uniprot,Escherichia coli (strain K12),Escherichia coli (strain K12),83333.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,375,Iron uptake system component EfeO,EfeUOB/M elemental iron uptake,gene_symbol_match
bfgm|114|K07224|efeO|A1A9S2,K07224,efeO,uniprot,Escherichia coli O1:K1 / APEC,Escherichia coli O1:K1 / APEC,405955.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,375,Iron uptake system component EfeO,EfeUOB/M elemental iron uptake,gene_symbol_match
bfgm|115|K07224|efeO|Q0WFT9,K07224,efeO,uniprot,Yersinia pestis,Yersinia pestis,632.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,376,Iron uptake system component EfeO,EfeUOB/M elemental iron uptake,gene_symbol_match
bfgm|116|K07224|efeO|Q0TJ49,K07224,efeO,uniprot,Escherichia coli O6:K15:H31 (strain 536 / UPEC),Escherichia coli O6:K15:H31 (strain 536 / UPEC),362663.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,375,Iron uptake system component EfeO,EfeUOB/M elemental iron uptake,gene_symbol_match
bfgm|117|K07224|efeO|Q31Z85,K07224,efeO,uniprot,Shigella boydii serotype 4 (strain Sb227),Shigella boydii serotype 4 (strain Sb227),300268.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,375,Iron uptake system component EfeO,EfeUOB/M elemental iron uptake,gene_symbol_match
bfgm|118|K07224|efeO|Q66BP5,K07224,efeO,uniprot,Yersinia pseudotuberculosis serotype I (strain IP32953),Yersinia pseudotuberculosis serotype I (strain IP32953),273123.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,374,Iron uptake system component EfeO,EfeUOB/M elemental iron uptake,gene_symbol_match
bfgm|119|K07224|efeO|Q8XAS6,K07224,efeO,uniprot,Escherichia coli O157:H7,Escherichia coli O157:H7,83334.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,375,Iron uptake system component EfeO,EfeUOB/M elemental iron uptake,gene_symbol_match
bfgm|120|K07224|efeO|Q8FJ35,K07224,efeO,uniprot,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),199310.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,375,Iron uptake system component EfeO,EfeUOB/M elemental iron uptake,gene_symbol_match
bfgm|121|K07243|efeU|P39595,K07243,efeU,uniprot,Bacillus subtilis (strain 168),Bacillus subtilis (strain 168),224308.0,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,481,Iron permease EfeU (Fe(3+) ion permease EfeU) (Ferric iron permease EfeU) (Ferric iron uptake protein),EfeUOB/M elemental iron uptake,gene_symbol_match
bfgm|122|K07243|efeU|Q0WFU0,K07243,efeU,uniprot,Yersinia pestis,Yersinia pestis,632.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,282,Ferrous iron permease EfeU (Fe(2+) ion permease EfeU) (Ferrous iron uptake protein),EfeUOB/M elemental iron uptake,gene_symbol_match
bfgm|123|K07243|efeU|Q0TJ50,K07243,efeU,uniprot,Escherichia coli O6:K15:H31 (strain 536 / UPEC),Escherichia coli O6:K15:H31 (strain 536 / UPEC),362663.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,276,Ferrous iron permease EfeU (Fe(2+) ion permease EfeU) (Ferrous iron uptake protein),EfeUOB/M elemental iron uptake,gene_symbol_match
bfgm|124|K07243|efeU|Q0T618,K07243,efeU,uniprot,Shigella flexneri serotype 5b (strain 8401),Shigella flexneri serotype 5b (strain 8401),373384.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,235,Ferrous iron permease EfeU (Fe(2+) ion permease EfeU) (Ferrous iron uptake protein),EfeUOB/M elemental iron uptake,gene_symbol_match
bfgm|125|K07243|efeU|Q8FJ36,K07243,efeU,uniprot,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),199310.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,276,Ferrous iron permease EfeU (Fe(2+) ion permease EfeU) (Ferrous iron uptake protein),EfeUOB/M elemental iron uptake,gene_symbol_match
bfgm|126|K07243|efeU|Q8XAS8,K07243,efeU,uniprot,Escherichia coli O157:H7,Escherichia coli O157:H7,83334.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,276,Ferrous iron permease EfeU (Fe(2+) ion permease EfeU) (Ferrous iron uptake protein),EfeUOB/M elemental iron uptake,gene_symbol_match
bfgm|127|K07243|efeU|Q66BP6,K07243,efeU,uniprot,Yersinia pseudotuberculosis serotype I (strain IP32953),Yersinia pseudotuberculosis serotype I (strain IP32953),273123.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,285,Ferrous iron permease EfeU (Fe(2+) ion permease EfeU) (Ferrous iron uptake protein),EfeUOB/M elemental iron uptake,gene_symbol_match
bfgm|128|K07243|efeU|Q83LK5,K07243,efeU,uniprot,Shigella flexneri,Shigella flexneri,623.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,235,Ferrous iron permease EfeU (Fe(2+) ion permease EfeU) (Ferrous iron uptake protein),EfeUOB/M elemental iron uptake,gene_symbol_match
bfgm|129|K08225|entS|A1A8M2,K08225,entS,uniprot,Escherichia coli O1:K1 / APEC,Escherichia coli O1:K1 / APEC,405955.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,416,Enterobactin exporter EntS,enterobactin export,gene_symbol_match
bfgm|130|K08225|entS|A7ZIX5,K08225,entS,uniprot,Escherichia coli O139:H28 (strain E24377A / ETEC),Escherichia coli O139:H28 (strain E24377A / ETEC),331111.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,416,Enterobactin exporter EntS,enterobactin export,gene_symbol_match
bfgm|131|K08225|entS|B7NLV2,K08225,entS,uniprot,Escherichia coli O7:K1 (strain IAI39 / ExPEC),Escherichia coli O7:K1 (strain IAI39 / ExPEC),585057.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,416,Enterobactin exporter EntS,enterobactin export,gene_symbol_match
bfgm|132|K08225|entS|B7UKN4,K08225,entS,uniprot,Escherichia coli O127:H6 (strain E2348/69 / EPEC),Escherichia coli O127:H6 (strain E2348/69 / EPEC),574521.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,416,Enterobactin exporter EntS,enterobactin export,gene_symbol_match
bfgm|133|K08225|entS|B2TTF0,K08225,entS,uniprot,Shigella boydii serotype 18 (strain CDC 3083-94 / BS512),Shigella boydii serotype 18 (strain CDC 3083-94 / BS512),344609.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,416,Enterobactin exporter EntS,enterobactin export,gene_symbol_match
bfgm|134|K08225|entS|C4ZV37,K08225,entS,uniprot,Escherichia coli (strain K12 / MC4100 / BW2952),Escherichia coli (strain K12 / MC4100 / BW2952),595496.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,416,Enterobactin exporter EntS,enterobactin export,gene_symbol_match
bfgm|135|K08225|entS|B7MRM9,K08225,entS,uniprot,Escherichia coli O81 (strain ED1a),Escherichia coli O81 (strain ED1a),585397.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,416,Enterobactin exporter EntS,enterobactin export,gene_symbol_match
bfgm|136|K08225|entS|A8AJL6,K08225,entS,uniprot,Citrobacter koseri (strain ATCC BAA-895 / CDC 4225-83 / SGSC4696),Citrobacter koseri (strain ATCC BAA-895 / CDC 4225-83 / SGSC4696),290338.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,416,Enterobactin exporter EntS,enterobactin export,gene_symbol_match
bfgm|137|K08225|entS|B5YPT7,K08225,entS,uniprot,Escherichia coli O157:H7 (strain EC4115 / EHEC),Escherichia coli O157:H7 (strain EC4115 / EHEC),444450.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,416,Enterobactin exporter EntS,enterobactin export,gene_symbol_match
bfgm|138|K08225|entS|Q32IX8,K08225,entS,uniprot,Shigella dysenteriae serotype 1 (strain Sd197),Shigella dysenteriae serotype 1 (strain Sd197),300267.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,416,Enterobactin exporter EntS,enterobactin export,gene_symbol_match
